"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/08/15","00:00","1.963","-","2.41"
"2011/08/15","00:06","2.027","-","2.49"
"2011/08/15","00:12","2.089","-","2.53"
"2011/08/15","00:18","2.151","-","2.58"
"2011/08/15","00:24","2.211","-","2.64"
"2011/08/15","00:30","2.27","-","2.69"
"2011/08/15","00:36","2.327","-","2.73"
"2011/08/15","00:42","2.383","-","2.8"
"2011/08/15","00:48","2.438","-","2.86"
"2011/08/15","00:54","2.49","-","2.9"
"2011/08/15","01:00","2.541","-","2.97"
"2011/08/15","01:06","2.591","-","3.02"
"2011/08/15","01:12","2.638","-","3.07"
"2011/08/15","01:18","2.683","-","3.13"
"2011/08/15","01:24","2.726","-","3.14"
"2011/08/15","01:30","2.766","-","3.2"
"2011/08/15","01:36","2.804","-","3.24"
"2011/08/15","01:42","2.839","-","3.28"
"2011/08/15","01:48","2.871","-","3.35"
"2011/08/15","01:54","2.9","-","3.39"
"2011/08/15","02:00","2.926","-","3.43"
"2011/08/15","02:06","2.949","-","3.46"
"2011/08/15","02:12","2.968","-","3.49"
"2011/08/15","02:18","2.983","-","3.51"
"2011/08/15","02:24","2.994","-","3.54"
"2011/08/15","02:30","3.002","-","3.56"
"2011/08/15","02:36","3.006","-","3.6"
"2011/08/15","02:42","3.006","-","3.64"
"2011/08/15","02:48","3.001","-","3.63"
"2011/08/15","02:54","2.993","-","3.65"
"2011/08/15","03:00","2.981","-","3.62"
"2011/08/15","03:06","2.966","-","3.62"
"2011/08/15","03:12","2.947","-","3.64"
"2011/08/15","03:18","2.924","-","3.61"
"2011/08/15","03:24","2.898","-","3.61"
"2011/08/15","03:30","2.869","-","3.59"
"2011/08/15","03:36","2.837","-","3.56"
"2011/08/15","03:42","2.802","-","3.52"
"2011/08/15","03:48","2.765","-","3.47"
"2011/08/15","03:54","2.726","-","3.44"
"2011/08/15","04:00","2.684","-","3.41"
"2011/08/15","04:06","2.641","-","3.35"
"2011/08/15","04:12","2.597","-","3.3"
"2011/08/15","04:18","2.552","-","3.25"
"2011/08/15","04:24","2.505","-","3.18"
"2011/08/15","04:30","2.458","-","3.11"
"2011/08/15","04:36","2.41","-","3.04"
"2011/08/15","04:42","2.361","-","2.98"
"2011/08/15","04:48","2.313","-","2.92"
"2011/08/15","04:54","2.264","-","2.87"
"2011/08/15","05:00","2.214","-","2.84"
"2011/08/15","05:06","2.165","-","2.78"
"2011/08/15","05:12","2.115","-","2.73"
"2011/08/15","05:18","2.065","-","2.68"
"2011/08/15","05:24","2.016","-","2.65"
"2011/08/15","05:30","1.965","-","2.58"
"2011/08/15","05:36","1.915","-","2.51"
"2011/08/15","05:42","1.864","-","2.47"
"2011/08/15","05:48","1.813","-","2.43"
"2011/08/15","05:54","1.761","-","2.4"
"2011/08/15","06:00","1.709","-","2.36"
