"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2011/08/15","06:06","1.656","-","2.32"
"2011/08/15","06:12","1.603","-","2.29"
"2011/08/15","06:18","1.548","-","2.23"
"2011/08/15","06:24","1.493","-","2.17"
"2011/08/15","06:30","1.438","-","2.15"
"2011/08/15","06:36","1.381","-","2.09"
"2011/08/15","06:42","1.324","-","2.03"
"2011/08/15","06:48","1.267","-","1.99"
"2011/08/15","06:54","1.209","-","1.92"
"2011/08/15","07:00","1.15","-","1.88"
"2011/08/15","07:06","1.092","-","1.85"
"2011/08/15","07:12","1.033","-","1.82"
"2011/08/15","07:18","0.975","-","1.79"
"2011/08/15","07:24","0.917","-","1.73"
"2011/08/15","07:30","0.86","-","1.69"
"2011/08/15","07:36","0.803","-","1.63"
"2011/08/15","07:42","0.748","-","1.57"
"2011/08/15","07:48","0.695","-","1.51"
"2011/08/15","07:54","0.643","-","1.47"
"2011/08/15","08:00","0.594","-","1.41"
"2011/08/15","08:06","0.547","-","1.34"
"2011/08/15","08:12","0.503","-","1.26"
"2011/08/15","08:18","0.462","-","1.22"
"2011/08/15","08:24","0.424","-","1.16"
"2011/08/15","08:30","0.39","-","1.11"
"2011/08/15","08:36","0.359","-","1.06"
"2011/08/15","08:42","0.333","-","1.02"
"2011/08/15","08:48","0.311","-","0.99"
"2011/08/15","08:54","0.294","-","0.94"
"2011/08/15","09:00","0.281","-","0.92"
"2011/08/15","09:06","0.273","-","0.92"
"2011/08/15","09:12","0.27","-","0.9"
"2011/08/15","09:18","0.271","-","0.89"
"2011/08/15","09:24","0.278","-","0.9"
"2011/08/15","09:30","0.289","-","0.9"
"2011/08/15","09:36","0.305","-","0.91"
"2011/08/15","09:42","0.326","-","0.93"
"2011/08/15","09:48","0.352","-","0.93"
"2011/08/15","09:54","0.382","-","0.95"
"2011/08/15","10:00","0.417","-","0.98"
"2011/08/15","10:06","0.456","-","0.99"
"2011/08/15","10:12","0.499","-","1.08"
"2011/08/15","10:18","0.545","-","1.11"
"2011/08/15","10:24","0.595","-","1.14"
"2011/08/15","10:30","0.648","-","1.2"
"2011/08/15","10:36","0.705","-","1.25"
"2011/08/15","10:42","0.763","-","1.32"
"2011/08/15","10:48","0.824","-","1.4"
"2011/08/15","10:54","0.887","-","1.46"
"2011/08/15","11:00","0.952","-","1.5"
"2011/08/15","11:06","1.018","-","1.61"
"2011/08/15","11:12","1.086","-","1.7"
"2011/08/15","11:18","1.154","-","1.81"
"2011/08/15","11:24","1.223","-","1.86"
"2011/08/15","11:30","1.292","-","1.97"
"2011/08/15","11:36","1.362","-","2.09"
"2011/08/15","11:42","1.431","-","2.17"
"2011/08/15","11:48","1.5","-","2.24"
"2011/08/15","11:54","1.569","-","2.31"
"2011/08/15","12:00","1.637","-","2.36"
"2011/08/15","12:06","1.705","-","2.44"
"2011/08/15","12:12","1.771","-","2.48"
"2011/08/15","12:18","1.837","-","2.59"
"2011/08/15","12:24","1.902","-","2.66"
"2011/08/15","12:30","1.966","-","2.7"
"2011/08/15","12:36","2.028","-","2.76"
"2011/08/15","12:42","2.09","-","2.8"
"2011/08/15","12:48","2.15","-","2.9"
"2011/08/15","12:54","2.209","-","2.93"
"2011/08/15","13:00","2.267","-","2.97"
"2011/08/15","13:06","2.323","-","3.03"
"2011/08/15","13:12","2.378","-","3.1"
"2011/08/15","13:18","2.431","-","3.19"
"2011/08/15","13:24","2.482","-","3.27"
"2011/08/15","13:30","2.532","-","3.31"
"2011/08/15","13:36","2.579","-","3.33"
"2011/08/15","13:42","2.625","-","3.34"
"2011/08/15","13:48","2.669","-","3.42"
"2011/08/15","13:54","2.71","-","3.51"
"2011/08/15","14:00","2.748","-","3.56"
"2011/08/15","14:06","2.785","-","3.59"
"2011/08/15","14:12","2.818","-","3.6"
"2011/08/15","14:18","2.848","-","3.65"
"2011/08/15","14:24","2.875","-","3.66"
"2011/08/15","14:30","2.899","-","3.68"
"2011/08/15","14:36","2.92","-","3.69"
"2011/08/15","14:42","2.937","-","3.72"
"2011/08/15","14:48","2.95","-","3.76"
"2011/08/15","14:54","2.96","-","3.82"
"2011/08/15","15:00","2.966","-","3.84"
"2011/08/15","15:06","2.968","-","3.86"
"2011/08/15","15:12","2.966","-","3.85"
"2011/08/15","15:18","2.96","-","3.9"
"2011/08/15","15:24","2.951","-","3.92"
"2011/08/15","15:30","2.938","-","3.97"
"2011/08/15","15:36","2.921","-","3.98"
"2011/08/15","15:42","2.901","-","3.93"
"2011/08/15","15:48","2.878","-","3.9"
"2011/08/15","15:54","2.852","-","3.9"
"2011/08/15","16:00","2.823","-","3.85"
"2011/08/15","16:06","2.792","-","3.8"
"2011/08/15","16:12","2.758","-","3.77"
"2011/08/15","16:18","2.721","-","3.75"
"2011/08/15","16:24","2.683","-","3.69"
"2011/08/15","16:30","2.644","-","3.62"
"2011/08/15","16:36","2.603","-","3.55"
"2011/08/15","16:42","2.561","-","3.54"
"2011/08/15","16:48","2.517","-","3.44"
"2011/08/15","16:54","2.473","-","3.4"
"2011/08/15","17:00","2.429","-","3.37"
"2011/08/15","17:06","2.383","-","3.3"
"2011/08/15","17:12","2.338","-","3.27"
"2011/08/15","17:18","2.292","-","3.22"
"2011/08/15","17:24","2.246","-","3.16"
"2011/08/15","17:30","2.2","-","3.11"
"2011/08/15","17:36","2.153","-","3.05"
"2011/08/15","17:42","2.107","-","3.01"
"2011/08/15","17:48","2.06","-","2.95"
"2011/08/15","17:54","2.013","-","2.91"
"2011/08/15","18:00","1.966","-","2.87"
"2011/08/15","18:06","1.918","-","2.84"
"2011/08/15","18:12","1.87","-","2.83"
"2011/08/15","18:18","1.822","-","2.79"
"2011/08/15","18:24","1.773","-","2.77"
"2011/08/15","18:30","1.723","-","2.7"
"2011/08/15","18:36","1.673","-","2.64"
"2011/08/15","18:42","1.622","-","2.62"
"2011/08/15","18:48","1.57","-","2.57"
"2011/08/15","18:54","1.518","-","2.52"
"2011/08/15","19:00","1.465","-","2.48"
"2011/08/15","19:06","1.411","-","2.41"
"2011/08/15","19:12","1.357","-","2.31"
"2011/08/15","19:18","1.302","-","2.24"
"2011/08/15","19:24","1.247","-","2.22"
"2011/08/15","19:30","1.192","-","2.18"
"2011/08/15","19:36","1.137","-","2.15"
"2011/08/15","19:42","1.083","-","2.07"
"2011/08/15","19:48","1.028","-","2.02"
"2011/08/15","19:54","0.975","-","1.99"
"2011/08/15","20:00","0.922","-","1.95"
"2011/08/15","20:06","0.871","-","1.86"
"2011/08/15","20:12","0.821","-","1.76"
"2011/08/15","20:18","0.773","-","1.71"
"2011/08/15","20:24","0.727","-","1.63"
"2011/08/15","20:30","0.684","-","1.58"
"2011/08/15","20:36","0.643","-","1.53"
"2011/08/15","20:42","0.605","-","1.49"
"2011/08/15","20:48","0.571","-","1.47"
"2011/08/15","20:54","0.539","-","1.44"
"2011/08/15","21:00","0.512","-","1.42"
"2011/08/15","21:06","0.488","-","1.4"
"2011/08/15","21:12","0.469","-","1.42"
"2011/08/15","21:18","0.453","-","1.44"
"2011/08/15","21:24","0.443","-","1.46"
"2011/08/15","21:30","0.436","-","1.47"
"2011/08/15","21:36","0.434","-","1.47"
"2011/08/15","21:42","0.437","-","1.48"
"2011/08/15","21:48","0.445","-","1.47"
"2011/08/15","21:54","0.457","-","1.47"
"2011/08/15","22:00","0.473","-","1.49"
"2011/08/15","22:06","0.494","-","1.5"
"2011/08/15","22:12","0.52","-","1.52"
"2011/08/15","22:18","0.55","-","1.55"
"2011/08/15","22:24","0.584","-","1.57"
"2011/08/15","22:30","0.621","-","1.6"
"2011/08/15","22:36","0.663","-","1.62"
"2011/08/15","22:42","0.707","-","1.62"
"2011/08/15","22:48","0.756","-","1.65"
"2011/08/15","22:54","0.806","-","1.71"
"2011/08/15","23:00","0.86","-","1.76"
"2011/08/15","23:06","0.916","-","1.8"
"2011/08/15","23:12","0.974","-","1.82"
"2011/08/15","23:18","1.034","-","1.84"
"2011/08/15","23:24","1.096","-","1.88"
"2011/08/15","23:30","1.158","-","1.92"
"2011/08/15","23:36","1.222","-","1.98"
"2011/08/15","23:42","1.287","-","2"
"2011/08/15","23:48","1.352","-","2.04"
"2011/08/15","23:54","1.417","-","2.09"
"2011/08/16","00:00","1.482","-","2.17"
"2011/08/16","00:06","1.547","-","2.24"
"2011/08/16","00:12","1.612","-","2.28"
"2011/08/16","00:18","1.676","-","2.34"
"2011/08/16","00:24","1.739","-","2.38"
"2011/08/16","00:30","1.802","-","2.41"
"2011/08/16","00:36","1.864","-","2.47"
"2011/08/16","00:42","1.925","-","2.52"
"2011/08/16","00:48","1.985","-","2.58"
"2011/08/16","00:54","2.043","-","2.62"
"2011/08/16","01:00","2.101","-","2.69"
"2011/08/16","01:06","2.157","-","2.76"
"2011/08/16","01:12","2.212","-","2.83"
"2011/08/16","01:18","2.265","-","2.89"
"2011/08/16","01:24","2.317","-","2.91"
"2011/08/16","01:30","2.368","-","2.95"
"2011/08/16","01:36","2.417","-","3.02"
"2011/08/16","01:42","2.464","-","3.09"
"2011/08/16","01:48","2.51","-","3.12"
"2011/08/16","01:54","2.553","-","3.18"
"2011/08/16","02:00","2.595","-","3.23"
"2011/08/16","02:06","2.635","-","3.25"
"2011/08/16","02:12","2.672","-","3.29"
"2011/08/16","02:18","2.708","-","3.33"
"2011/08/16","02:24","2.74","-","3.38"
"2011/08/16","02:30","2.77","-","3.41"
"2011/08/16","02:36","2.797","-","3.44"
"2011/08/16","02:42","2.821","-","3.45"
"2011/08/16","02:48","2.842","-","3.47"
"2011/08/16","02:54","2.86","-","3.48"
"2011/08/16","03:00","2.874","-","3.47"
"2011/08/16","03:06","2.885","-","3.49"
"2011/08/16","03:12","2.892","-","3.49"
"2011/08/16","03:18","2.896","-","3.46"
"2011/08/16","03:24","2.896","-","3.48"
"2011/08/16","03:30","2.891","-","3.48"
"2011/08/16","03:36","2.884","-","3.53"
"2011/08/16","03:42","2.872","-","3.51"
"2011/08/16","03:48","2.856","-","3.51"
"2011/08/16","03:54","2.837","-","3.52"
"2011/08/16","04:00","2.815","-","3.51"
"2011/08/16","04:06","2.789","-","3.52"
"2011/08/16","04:12","2.76","-","3.52"
"2011/08/16","04:18","2.728","-","3.47"
"2011/08/16","04:24","2.693","-","3.47"
"2011/08/16","04:30","2.656","-","3.42"
"2011/08/16","04:36","2.616","-","3.38"
"2011/08/16","04:42","2.574","-","3.35"
"2011/08/16","04:48","2.531","-","3.3"
"2011/08/16","04:54","2.486","-","3.23"
"2011/08/16","05:00","2.439","-","3.19"
"2011/08/16","05:06","2.392","-","3.14"
"2011/08/16","05:12","2.343","-","3.08"
"2011/08/16","05:18","2.294","-","3.03"
"2011/08/16","05:24","2.244","-","2.96"
"2011/08/16","05:30","2.194","-","2.9"
"2011/08/16","05:36","2.144","-","2.87"
"2011/08/16","05:42","2.094","-","2.81"
"2011/08/16","05:48","2.044","-","2.74"
"2011/08/16","05:54","1.993","-","2.71"
"2011/08/16","06:00","1.943","-","2.62"
"2011/08/16","06:06","1.893","-","2.53"
"2011/08/16","06:12","1.843","-","2.47"
"2011/08/16","06:18","1.793","-","2.44"
"2011/08/16","06:24","1.744","-","2.41"
"2011/08/16","06:30","1.694","-","2.36"
"2011/08/16","06:36","1.644","-","2.27"
"2011/08/16","06:42","1.594","-","2.19"
"2011/08/16","06:48","1.544","-","2.11"
"2011/08/16","06:54","1.494","-","2.06"
"2011/08/16","07:00","1.444","-","2.01"
"2011/08/16","07:06","1.394","-","1.96"
"2011/08/16","07:12","1.343","-","1.92"
"2011/08/16","07:18","1.292","-","1.87"
"2011/08/16","07:24","1.241","-","1.81"
"2011/08/16","07:30","1.19","-","1.78"
"2011/08/16","07:36","1.139","-","1.73"
"2011/08/16","07:42","1.087","-","1.72"
"2011/08/16","07:48","1.036","-","1.69"
"2011/08/16","07:54","0.986","-","1.66"
"2011/08/16","08:00","0.936","-","1.63"
"2011/08/16","08:06","0.886","-","1.58"
"2011/08/16","08:12","0.838","-","1.54"
"2011/08/16","08:18","0.79","-","1.48"
"2011/08/16","08:24","0.744","-","1.41"
"2011/08/16","08:30","0.699","-","1.34"
"2011/08/16","08:36","0.656","-","1.27"
"2011/08/16","08:42","0.616","-","1.21"
"2011/08/16","08:48","0.577","-","1.17"
"2011/08/16","08:54","0.541","-","1.15"
"2011/08/16","09:00","0.508","-","1.12"
"2011/08/16","09:06","0.478","-","1.09"
"2011/08/16","09:12","0.452","-","1.07"
"2011/08/16","09:18","0.429","-","1.03"
"2011/08/16","09:24","0.409","-","1.04"
"2011/08/16","09:30","0.394","-","1"
"2011/08/16","09:36","0.382","-","0.97"
"2011/08/16","09:42","0.375","-","0.95"
"2011/08/16","09:48","0.371","-","0.91"
"2011/08/16","09:54","0.373","-","0.91"
"2011/08/16","10:00","0.378","-","0.92"
"2011/08/16","10:06","0.388","-","0.89"
"2011/08/16","10:12","0.403","-","0.9"
"2011/08/16","10:18","0.422","-","0.89"
"2011/08/16","10:24","0.445","-","0.91"
"2011/08/16","10:30","0.472","-","0.93"
"2011/08/16","10:36","0.503","-","0.97"
"2011/08/16","10:42","0.539","-","1.01"
"2011/08/16","10:48","0.578","-","1.04"
"2011/08/16","10:54","0.621","-","1.1"
"2011/08/16","11:00","0.667","-","1.17"
"2011/08/16","11:06","0.716","-","1.23"
"2011/08/16","11:12","0.769","-","1.31"
"2011/08/16","11:18","0.824","-","1.39"
"2011/08/16","11:24","0.881","-","1.46"
"2011/08/16","11:30","0.941","-","1.55"
"2011/08/16","11:36","1.002","-","1.62"
"2011/08/16","11:42","1.065","-","1.67"
"2011/08/16","11:48","1.13","-","1.73"
"2011/08/16","11:54","1.195","-","1.81"
"2011/08/16","12:00","1.261","-","1.88"
"2011/08/16","12:06","1.328","-","1.96"
"2011/08/16","12:12","1.395","-","2.05"
"2011/08/16","12:18","1.462","-","2.11"
"2011/08/16","12:24","1.529","-","2.17"
"2011/08/16","12:30","1.596","-","2.25"
"2011/08/16","12:36","1.662","-","2.35"
"2011/08/16","12:42","1.728","-","2.4"
"2011/08/16","12:48","1.792","-","2.47"
"2011/08/16","12:54","1.856","-","2.49"
"2011/08/16","13:00","1.919","-","2.56"
"2011/08/16","13:06","1.981","-","2.62"
"2011/08/16","13:12","2.042","-","2.67"
"2011/08/16","13:18","2.102","-","2.72"
"2011/08/16","13:24","2.16","-","2.77"
"2011/08/16","13:30","2.217","-","2.84"
"2011/08/16","13:36","2.273","-","2.89"
"2011/08/16","13:42","2.327","-","2.93"
"2011/08/16","13:48","2.38","-","2.98"
"2011/08/16","13:54","2.431","-","3.02"
"2011/08/16","14:00","2.481","-","3.06"
"2011/08/16","14:06","2.529","-","3.11"
"2011/08/16","14:12","2.576","-","3.16"
"2011/08/16","14:18","2.621","-","3.21"
"2011/08/16","14:24","2.664","-","3.24"
"2011/08/16","14:30","2.705","-","3.29"
"2011/08/16","14:36","2.744","-","3.34"
"2011/08/16","14:42","2.78","-","3.36"
"2011/08/16","14:48","2.814","-","3.39"
"2011/08/16","14:54","2.846","-","3.42"
"2011/08/16","15:00","2.875","-","3.45"
"2011/08/16","15:06","2.901","-","3.48"
"2011/08/16","15:12","2.925","-","3.53"
"2011/08/16","15:18","2.945","-","3.58"
"2011/08/16","15:24","2.962","-","3.6"
"2011/08/16","15:30","2.975","-","3.63"
"2011/08/16","15:36","2.985","-","3.63"
"2011/08/16","15:42","2.992","-","3.64"
"2011/08/16","15:48","2.995","-","3.64"
"2011/08/16","15:54","2.994","-","3.65"
"2011/08/16","16:00","2.989","-","3.64"
"2011/08/16","16:06","2.981","-","3.64"
"2011/08/16","16:12","2.969","-","3.63"
"2011/08/16","16:18","2.954","-","3.63"
"2011/08/16","16:24","2.935","-","3.6"
"2011/08/16","16:30","2.913","-","3.58"
"2011/08/16","16:36","2.887","-","3.57"
"2011/08/16","16:42","2.859","-","3.59"
"2011/08/16","16:48","2.828","-","3.54"
"2011/08/16","16:54","2.794","-","3.51"
"2011/08/16","17:00","2.757","-","3.48"
"2011/08/16","17:06","2.719","-","3.45"
"2011/08/16","17:12","2.678","-","3.39"
"2011/08/16","17:18","2.636","-","3.35"
"2011/08/16","17:24","2.592","-","3.3"
"2011/08/16","17:30","2.547","-","3.26"
"2011/08/16","17:36","2.501","-","3.18"
"2011/08/16","17:42","2.454","-","3.12"
"2011/08/16","17:48","2.406","-","3.1"
"2011/08/16","17:54","2.358","-","3.05"
"2011/08/16","18:00","2.309","-","2.98"
"2011/08/16","18:06","2.26","-","2.95"
"2011/08/16","18:12","2.211","-","2.91"
"2011/08/16","18:18","2.162","-","2.87"
"2011/08/16","18:24","2.113","-","2.84"
"2011/08/16","18:30","2.063","-","2.79"
"2011/08/16","18:36","2.014","-","2.73"
"2011/08/16","18:42","1.965","-","2.71"
"2011/08/16","18:48","1.915","-","2.65"
"2011/08/16","18:54","1.865","-","2.6"
"2011/08/16","19:00","1.816","-","2.56"
"2011/08/16","19:06","1.766","-","2.5"
"2011/08/16","19:12","1.716","-","2.44"
"2011/08/16","19:18","1.666","-","2.39"
"2011/08/16","19:24","1.615","-","2.31"
"2011/08/16","19:30","1.564","-","2.26"
"2011/08/16","19:36","1.513","-","2.21"
"2011/08/16","19:42","1.462","-","2.17"
"2011/08/16","19:48","1.411","-","2.11"
"2011/08/16","19:54","1.359","-","2.08"
"2011/08/16","20:00","1.307","-","2.04"
"2011/08/16","20:06","1.256","-","1.99"
"2011/08/16","20:12","1.204","-","1.93"
"2011/08/16","20:18","1.153","-","1.9"
"2011/08/16","20:24","1.102","-","1.86"
"2011/08/16","20:30","1.052","-","1.8"
"2011/08/16","20:36","1.003","-","1.73"
"2011/08/16","20:42","0.954","-","1.67"
"2011/08/16","20:48","0.907","-","1.6"
"2011/08/16","20:54","0.861","-","1.52"
"2011/08/16","21:00","0.817","-","1.46"
"2011/08/16","21:06","0.775","-","1.4"
"2011/08/16","21:12","0.735","-","1.36"
"2011/08/16","21:18","0.698","-","1.33"
"2011/08/16","21:24","0.663","-","1.3"
"2011/08/16","21:30","0.631","-","1.28"
"2011/08/16","21:36","0.602","-","1.27"
"2011/08/16","21:42","0.576","-","1.23"
"2011/08/16","21:48","0.554","-","1.19"
"2011/08/16","21:54","0.536","-","1.18"
"2011/08/16","22:00","0.521","-","1.16"
"2011/08/16","22:06","0.511","-","1.14"
"2011/08/16","22:12","0.504","-","1.14"
"2011/08/16","22:18","0.501","-","1.14"
"2011/08/16","22:24","0.503","-","1.14"
"2011/08/16","22:30","0.509","-","1.12"
"2011/08/16","22:36","0.519","-","1.11"
"2011/08/16","22:42","0.533","-","1.12"
"2011/08/16","22:48","0.551","-","1.13"
"2011/08/16","22:54","0.574","-","1.15"
"2011/08/16","23:00","0.6","-","1.17"
"2011/08/16","23:06","0.63","-","1.2"
"2011/08/16","23:12","0.664","-","1.24"
"2011/08/16","23:18","0.701","-","1.25"
"2011/08/16","23:24","0.742","-","1.29"
"2011/08/16","23:30","0.786","-","1.35"
"2011/08/16","23:36","0.832","-","1.39"
"2011/08/16","23:42","0.881","-","1.42"
"2011/08/16","23:48","0.933","-","1.45"
"2011/08/16","23:54","0.986","-","1.5"
"2011/08/17","00:00","1.042","-","1.55"
"2011/08/17","00:06","1.099","-","1.58"
"2011/08/17","00:12","1.157","-","1.66"
"2011/08/17","00:18","1.216","-","1.73"
"2011/08/17","00:24","1.276","-","1.79"
"2011/08/17","00:30","1.337","-","1.85"
"2011/08/17","00:36","1.398","-","1.9"
"2011/08/17","00:42","1.458","-","1.96"
"2011/08/17","00:48","1.519","-","2.01"
"2011/08/17","00:54","1.58","-","2.04"
"2011/08/17","01:00","1.64","-","2.1"
"2011/08/17","01:06","1.699","-","2.15"
"2011/08/17","01:12","1.757","-","2.19"
"2011/08/17","01:18","1.815","-","2.26"
"2011/08/17","01:24","1.871","-","2.29"
"2011/08/17","01:30","1.926","-","2.34"
"2011/08/17","01:36","1.981","-","2.37"
"2011/08/17","01:42","2.034","-","2.4"
"2011/08/17","01:48","2.085","-","2.46"
"2011/08/17","01:54","2.136","-","2.52"
"2011/08/17","02:00","2.184","-","2.58"
"2011/08/17","02:06","2.232","-","2.63"
"2011/08/17","02:12","2.278","-","2.69"
"2011/08/17","02:18","2.322","-","2.71"
"2011/08/17","02:24","2.365","-","2.74"
"2011/08/17","02:30","2.407","-","2.78"
"2011/08/17","02:36","2.446","-","2.82"
"2011/08/17","02:42","2.484","-","2.86"
"2011/08/17","02:48","2.52","-","2.89"
"2011/08/17","02:54","2.554","-","2.92"
"2011/08/17","03:00","2.586","-","2.97"
"2011/08/17","03:06","2.616","-","3.02"
"2011/08/17","03:12","2.643","-","3.04"
"2011/08/17","03:18","2.669","-","3.08"
"2011/08/17","03:24","2.691","-","3.09"
"2011/08/17","03:30","2.711","-","3.11"
"2011/08/17","03:36","2.728","-","3.14"
"2011/08/17","03:42","2.742","-","3.16"
"2011/08/17","03:48","2.752","-","3.19"
"2011/08/17","03:54","2.76","-","3.21"
"2011/08/17","04:00","2.764","-","3.23"
"2011/08/17","04:06","2.765","-","3.23"
"2011/08/17","04:12","2.762","-","3.24"
"2011/08/17","04:18","2.755","-","3.23"
"2011/08/17","04:24","2.745","-","3.24"
"2011/08/17","04:30","2.732","-","3.24"
"2011/08/17","04:36","2.715","-","3.22"
"2011/08/17","04:42","2.694","-","3.18"
"2011/08/17","04:48","2.671","-","3.15"
"2011/08/17","04:54","2.644","-","3.12"
"2011/08/17","05:00","2.614","-","3.09"
"2011/08/17","05:06","2.58","-","3.05"
"2011/08/17","05:12","2.545","-","2.99"
"2011/08/17","05:18","2.507","-","2.93"
"2011/08/17","05:24","2.466","-","2.87"
"2011/08/17","05:30","2.424","-","2.82"
"2011/08/17","05:36","2.379","-","2.79"
"2011/08/17","05:42","2.333","-","2.76"
"2011/08/17","05:48","2.286","-","2.72"
"2011/08/17","05:54","2.238","-","2.66"
"2011/08/17","06:00","2.189","-","2.59"
"2011/08/17","06:06","2.139","-","2.53"
"2011/08/17","06:12","2.089","-","2.47"
"2011/08/17","06:18","2.039","-","2.4"
"2011/08/17","06:24","1.988","-","2.33"
"2011/08/17","06:30","1.938","-","2.28"
"2011/08/17","06:36","1.888","-","2.23"
"2011/08/17","06:42","1.838","-","2.17"
"2011/08/17","06:48","1.789","-","2.13"
"2011/08/17","06:54","1.74","-","2.09"
"2011/08/17","07:00","1.691","-","2.04"
"2011/08/17","07:06","1.643","-","1.99"
"2011/08/17","07:12","1.595","-","1.95"
"2011/08/17","07:18","1.548","-","1.89"
"2011/08/17","07:24","1.502","-","1.85"
"2011/08/17","07:30","1.455","-","1.8"
"2011/08/17","07:36","1.41","-","1.75"
"2011/08/17","07:42","1.364","-","1.69"
"2011/08/17","07:48","1.319","-","1.65"
"2011/08/17","07:54","1.274","-","1.61"
"2011/08/17","08:00","1.23","-","1.56"
"2011/08/17","08:06","1.186","-","1.52"
"2011/08/17","08:12","1.142","-","1.48"
"2011/08/17","08:18","1.099","-","1.44"
"2011/08/17","08:24","1.056","-","1.41"
"2011/08/17","08:30","1.013","-","1.36"
"2011/08/17","08:36","0.972","-","1.32"
"2011/08/17","08:42","0.931","-","1.28"
"2011/08/17","08:48","0.89","-","1.22"
"2011/08/17","08:54","0.851","-","1.15"
"2011/08/17","09:00","0.813","-","1.1"
"2011/08/17","09:06","0.776","-","1.05"
"2011/08/17","09:12","0.741","-","1.01"
"2011/08/17","09:18","0.707","-","0.98"
"2011/08/17","09:24","0.675","-","0.94"
"2011/08/17","09:30","0.645","-","0.91"
"2011/08/17","09:36","0.617","-","0.89"
"2011/08/17","09:42","0.592","-","0.87"
"2011/08/17","09:48","0.569","-","0.85"
"2011/08/17","09:54","0.549","-","0.81"
"2011/08/17","10:00","0.533","-","0.78"
"2011/08/17","10:06","0.519","-","0.77"
"2011/08/17","10:12","0.508","-","0.76"
"2011/08/17","10:18","0.502","-","0.73"
"2011/08/17","10:24","0.498","-","0.72"
"2011/08/17","10:30","0.499","-","0.71"
"2011/08/17","10:36","0.503","-","0.69"
"2011/08/17","10:42","0.511","-","0.68"
"2011/08/17","10:48","0.522","-","0.7"
"2011/08/17","10:54","0.538","-","0.72"
"2011/08/17","11:00","0.558","-","0.74"
"2011/08/17","11:06","0.581","-","0.76"
"2011/08/17","11:12","0.608","-","0.8"
"2011/08/17","11:18","0.639","-","0.84"
"2011/08/17","11:24","0.674","-","0.89"
"2011/08/17","11:30","0.712","-","0.93"
"2011/08/17","11:36","0.753","-","0.97"
"2011/08/17","11:42","0.797","-","1.02"
"2011/08/17","11:48","0.845","-","1.06"
"2011/08/17","11:54","0.895","-","1.09"
"2011/08/17","12:00","0.947","-","1.15"
"2011/08/17","12:06","1.002","-","1.22"
"2011/08/17","12:12","1.059","-","1.26"
"2011/08/17","12:18","1.118","-","1.32"
"2011/08/17","12:24","1.178","-","1.38"
